DateTime	ResolutionCode	AreaCode	AreaTypeCode	AreaName	MapCode	TotalLoadValue	UpdateTime
2022-03-01 02:00:00.000	PT60M	10Y1001A1001B012	BZN	GE BZN	GE	1507.46	2022-03-01 05:16:16
2022-03-01 01:00:00.000	PT60M	10Y1001A1001B012	BZN	GE BZN	GE	1460.56	2022-03-01 04:16:49
2022-03-01 00:00:00.000	PT60M	10Y1001A1001B012	BZN	GE BZN	GE	1402.66	2022-03-01 03:16:20
2022-03-01 02:00:00.000	PT60M	10YAT-APG------L	BZN	AT BZN	AT	6260.8	2022-03-03 10:16:05
2022-03-01 01:00:00.000	PT60M	10YAT-APG------L	BZN	AT BZN	AT	6308.5	2022-03-03 10:16:05
2022-03-01 00:00:00.000	PT60M	10YAT-APG------L	BZN	AT BZN	AT	6400.9	2022-03-03 10:16:05
2022-03-01 02:00:00.000	PT60M	10YCS-SERBIATSOV	BZN	RS BZN	RS	3876.0	2022-03-02 08:01:24
2022-03-01 01:00:00.000	PT60M	10YCS-SERBIATSOV	BZN	RS BZN	RS	4047.0	2022-03-02 08:01:24
2022-03-01 00:00:00.000	PT60M	10YCS-SERBIATSOV	BZN	RS BZN	RS	4311.0	2022-03-02 08:01:24
2022-03-01 02:00:00.000	PT60M	10YDK-1--------W	BZN	DK1 BZN	DK1	2243.94	2022-03-01 04:46:09
2022-03-01 01:00:00.000	PT60M	10YDK-1--------W	BZN	DK1 BZN	DK1	2267.84	2022-03-01 03:46:09
2022-03-01 00:00:00.000	PT60M	10YDK-1--------W	BZN	DK1 BZN	DK1	2241.84	2022-03-01 02:46:08
2022-03-01 02:00:00.000	PT60M	10YNO-3--------J	BZN	NO3 BZN	NO3	3297.15	2022-03-01 05:01:12
2022-03-01 01:00:00.000	PT60M	10YNO-3--------J	BZN	NO3 BZN	NO3	3310.99	2022-03-01 04:01:08
2022-03-01 00:00:00.000	PT60M	10YNO-3--------J	BZN	NO3 BZN	NO3	3370.12	2022-03-01 03:01:12
2022-03-01 01:00:00.000	PT15M	10YRO-TEL------P	BZN	RO BZN	RO	6123.0	2022-03-01 02:31:04
2022-03-01 00:45:00.000	PT15M	10YRO-TEL------P	BZN	RO BZN	RO	6166.0	2022-03-01 02:16:18
2022-03-01 00:30:00.000	PT15M	10YRO-TEL------P	BZN	RO BZN	RO	6180.0	2022-03-01 02:01:20
2022-03-01 00:15:00.000	PT15M	10YRO-TEL------P	BZN	RO BZN	RO	6165.0	2022-03-01 01:46:05
2022-03-01 00:00:00.000	PT15M	10YRO-TEL------P	BZN	RO BZN	RO	6141.0	2022-03-01 01:30:58
2022-03-01 02:45:00.000	PT15M	10YRO-TEL------P	BZN	RO BZN	RO	6284.0	2022-03-01 04:16:56
2022-03-01 02:30:00.000	PT15M	10YRO-TEL------P	BZN	RO BZN	RO	6220.0	2022-03-01 04:01:14
2022-03-01 02:15:00.000	PT15M	10YRO-TEL------P	BZN	RO BZN	RO	6140.0	2022-03-01 03:46:07
2022-03-01 02:00:00.000	PT15M	10YRO-TEL------P	BZN	RO BZN	RO	6079.0	2022-03-01 03:31:04
2022-03-01 01:45:00.000	PT15M	10YRO-TEL------P	BZN	RO BZN	RO	6102.0	2022-03-01 03:16:30
2022-03-01 01:30:00.000	PT15M	10YRO-TEL------P	BZN	RO BZN	RO	6159.0	2022-03-01 03:01:15
2022-03-01 01:15:00.000	PT15M	10YRO-TEL------P	BZN	RO BZN	RO	6131.0	2022-03-01 02:46:06
2022-03-01 02:00:00.000	PT60M	10YSK-SEPS-----K	BZN	SK BZN	SK	3133.0	2022-03-01 04:16:52
2022-03-01 01:00:00.000	PT60M	10YSK-SEPS-----K	BZN	SK BZN	SK	3139.0	2022-03-01 03:16:23
2022-03-01 00:00:00.000	PT60M	10YSK-SEPS-----K	BZN	SK BZN	SK	3107.0	2022-03-01 02:16:15
